Servicenow TT,INC TT NO,Site ID,Priority,Area,Site Address,Category,Subcategory,Alarm Desc,Month,TT Issue Date,TT Close Date,Breached,Status,Spare Changed,Feedback,Breached_Flag,Spare_Flag,Area_Type,Is_Priority_Area,Month_Num,Priority_Num,IssueDate,Issue_Year,Issue_Month,Issue_Day,Issue_WeekDay
NOCINC0006030666,4977804,4221,S1,MAK,"ABU AL-HASSANIAH, BLK 8",Standby DG,DA on Load,DA on Load,Jan,1/4/2026,1/4/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",0,0,Priority,1,1,1,1/4/2026,2026,1,4,Sunday
NOCINC0006030698,4978049,4111,S2,MAK,SABAH AL-SALEM BLK 5 CO-OP,AC,High Temp 32C,High Temperature 32C,Jan,1/4/2026,1/4/2026,yes,close,NO,AC issue  -   Our team visited at site and found AC 3 PCB hanged / Reset . Now alarm clear ,1,0,Priority,1,1,2,1/4/2026,2026,1,4,Sunday
NOCINC0006030721,4978199,4251,S3,MAK,"MASAYEL, BLOCK-5, STREET-526, HOUSE-36 .",AC,Aircon 1 Alarm,Aircon1,Jan,1/5/2026,1/5/2026,yes,close,NO,Self Cleared - As per KWT NOC there is no alarm active at site. Alarm self-cleared and stable. Please close TT,1,0,Priority,1,1,3,1/5/2026,2026,1,5,Monday
NOCINC0006030736,4978239,4368,S4,MAK,Mubarak Al-Kabeer-BLOCK 2-ST 20,MEW,Major / Site Down,Rectifier Major Radio,Jan,1/5/2026,1/5/2026,yes,close,NO,MEW Power Failure - MEW power failure there. Our PRO Registered Complaint with MEW. Presently MEW power restored at site. Now alarm cleared.,1,0,Priority,1,1,4,1/5/2026,2026,1,5,Monday
NOCINC0006030779,4978706,1699,S2,MAK,"SABAH AL SALEM, CO-OP 4",AC,High Temp 32C,High Temperature 32C,Jan,1/6/2026,1/6/2026,yes,close,NO,"Ac issue - our team attended site and reported AC1 And Ac 2 Gas Discharged , gas charged AC 1 1.5 KG and Ac 2 1 kg.now site is clear.",1,0,Priority,1,1,2,1/6/2026,2026,1,6,Tuesday
NOCINC0006030831 ,4978977,878,S3,MAK,"ABU FTAIRA-BLOCK 7,ST 165",DG,Major / Site Down,Rectifier Major Radio,Jan,1/6/2026,1/6/2026,yes,close,YES,DG issue / Our team visited at site site and found dg stopped due to charging alternator faulty / repaired. Now alarm clear ,1,1,Priority,1,1,3,1/6/2026,2026,1,6,Tuesday
NOCINC0006030843,4979193,878,S3,MAK,"ABU FTAIRA-BLOCK 7,ST 165",DG,Major / Site Down,Rectifier Major Radio,Jan,1/7/2026,1/7/2026,,close,YES,"DG issue - our team attended site and reported DG stopped due to Dynamo faulty, replaced. Now site is clear.",0,1,Priority,1,1,3,1/7/2026,2026,1,7,Wednesday
NOCINC0006030867 ,4979333,4245,S4,MAK,"AL-Adan- BLOCK-7, MOI",MEW,Major / Site Down,Rectifier Major Radio,Jan,1/7/2026,1/7/2026,yes,close,NO,"Access issue / Building Breaker tripped   -  Our team visited at site but couldn't get access as site is located in AL-Adan- BLOCK-7, MOI (Police station) and police is not allowing to enter site same informed CL Mr. Khalid, Again our team visited at site also CL Mr. Khalid visited site and arranged",1,0,Priority,1,1,4,1/7/2026,2026,1,7,Wednesday
NOCINC0006030886 ,4979747,4276,S4,MAK,"Mubarak Al-Kabeer - Block 2 - St 39 - Parcel 900004 - PACI NO 91639829, COOP-19",MEW,Major / Site Down,:Rectifier Major Radio,Jan,1/8/2026,1/8/2026,yes,close,NO,"MEW maintenance - Team visited the site and found MEW power failure due to MEW maintenance work is going on, As received information from MEW team. Power will be restore in 1 hour approx. we mobilized MDG, Presently our MDG reached at site and found MEW power restored. alarm cleared. ",1,0,Priority,1,1,4,1/8/2026,2026,1,8,Thursday
NOCINC0006030890 ,4979735,4136,S2,MAK,"SABAH AL-SALEM, AL-MESSILA RESIDENTIAL COMPLEX",AC,Aircon 3 Alarm,Aircon3,Jan,1/8/2026,1/8/2026,yes,close,NO,"Self Cleared - Team visited and found All AC are running normally, also As per KWT NOC there is no alarm active at site. Alarm self-cleared and stable. Please close TT",1,0,Priority,1,1,2,1/8/2026,2026,1,8,Thursday
NOCINC0006030901,4979787,4190,S4,MAK,"AL-Adan- BLOCK-8, ST-10, HOUSE-8",AC,Aircon 1 Alarm,Aircon1,Jan,1/8/2026,1/8/2026,,close,NO,Self Cleared - As per KWT NOC there is no alarm active at site. Alarm self-cleared and stable. Please close TT,0,0,Priority,1,1,4,1/8/2026,2026,1,8,Thursday
NOCINC0006030996 ,4981037,4221,S1,MAK,"ABU AL-HASSANIAH, BLK 8",Standby DG,DA on Load,DA on Load,Jan,1/11/2026,1/11/2026,yes,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",1,0,Priority,1,1,1,1/11/2026,2026,1,11,Sunday
